"Route","RefCount","FilePath"
"/api/ai/pipeline/version","0","\src\app\api\ai\pipeline\version\route.ts"
"/api/ai/plugins","0","\src\app\api\ai\plugins\route.ts"
"/api/ai/plugins/all","0","\src\app\api\ai\plugins\all\route.ts"
"/api/ai/plugins/delete","0","\src\app\api\ai\plugins\delete\route.ts"
"/api/ai/plugins/diagnostics","0","\src\app\api\ai\plugins\diagnostics\route.ts"
"/api/ai/plugins/health","0","\src\app\api\ai\plugins\health\route.ts"
"/api/ai/plugins/info","0","\src\app\api\ai\plugins\info\route.ts"
"/api/ai/plugins/lookup","0","\src\app\api\ai\plugins\lookup\route.ts"
"/api/ai/plugins/version","0","\src\app\api\ai\plugins\version\route.ts"
"/api/ai/prompts","0","\src\app\api\ai\prompts\route.ts"
"/api/ai/providers","0","\src\app\api\ai\providers\route.ts"
"/api/ai/queue","0","\src\app\api\ai\queue\route.ts"
"/api/ai/queue/data","0","\src\app\api\ai\queue\data\route.ts"
"/api/ai/queue/diagnostics","0","\src\app\api\ai\queue\diagnostics\route.ts"
"/api/ai/queue/health","0","\src\app\api\ai\queue\health\route.ts"
"/api/ai/queue/info","0","\src\app\api\ai\queue\info\route.ts"
"/api/ai/queue/metrics","0","\src\app\api\ai\queue\metrics\route.ts"
"/api/ai/queue/pop","0","\src\app\api\ai\queue\pop\route.ts"
"/api/ai/queue/status","0","\src\app\api\ai\queue\status\route.ts"
"/api/ai/queue/version","0","\src\app\api\ai\queue\version\route.ts"
"/api/ai/registry","0","\src\app\api\ai\registry\route.ts"
"/api/ai/request-id","0","\src\app\api\ai\request-id\route.ts"
"/api/ai/request-id/health","0","\src\app\api\ai\request-id\health\route.ts"
"/api/ai/requests","0","\src\app\api\ai\requests\route.ts"
"/api/ai/requests/all","0","\src\app\api\ai\requests\all\route.ts"
"/api/ai/response-cache","0","\src\app\api\ai\response-cache\route.ts"
"/api/ai/response-cache/clear","0","\src\app\api\ai\response-cache\clear\route.ts"
"/api/ai/response-cache/health","0","\src\app\api\ai\response-cache\health\route.ts"
"/api/ai/response-cache/version","0","\src\app\api\ai\response-cache\version\route.ts"
"/api/ai/roles","0","\src\app\api\ai\roles\route.ts"
"/api/ai/root","0","\src\app\api\ai\root\route.ts"
"/api/ai/routes","0","\src\app\api\ai\routes\route.ts"
"/api/ai/sanitizer","0","\src\app\api\ai\sanitizer\route.ts"
"/api/ai/sanitizer/health","0","\src\app\api\ai\sanitizer\health\route.ts"
"/api/ai/search","0","\src\app\api\ai\search\route.ts"
"/api/ai/serializer","0","\src\app\api\ai\serializer\route.ts"
"/api/ai/serializer/health","0","\src\app\api\ai\serializer\health\route.ts"
"/api/ai/server","0","\src\app\api\ai\server\route.ts"
"/api/ai/services","0","\src\app\api\ai\services\route.ts"
"/api/ai/settings","0","\src\app\api\ai\settings\route.ts"
"/api/ai/sort","0","\src\app\api\ai\sort\route.ts"
"/api/ai/sort/health","0","\src\app\api\ai\sort\health\route.ts"
"/api/ai/statistics","0","\src\app\api\ai\statistics\route.ts"
"/api/ai/statistics/health","0","\src\app\api\ai\statistics\health\route.ts"
"/api/ai/stats","0","\src\app\api\ai\stats\route.ts"
"/api/ai/stopwatch","0","\src\app\api\ai\stopwatch\route.ts"
"/api/ai/stopwatch/health","0","\src\app\api\ai\stopwatch\health\route.ts"
"/api/ai/stopwatch/version","0","\src\app\api\ai\stopwatch\version\route.ts"
"/api/ai/stream","0","\src\app\api\ai\stream\route.ts"
"/api/ai/stream/config","0","\src\app\api\ai\stream\config\route.ts"
"/api/ai/stream/diagnostics","0","\src\app\api\ai\stream\diagnostics\route.ts"
"/api/ai/stream/health","0","\src\app\api\ai\stream\health\route.ts"
"/api/ai/stream/metrics","0","\src\app\api\ai\stream\metrics\route.ts"
"/api/ai/stream/status","0","\src\app\api\ai\stream\status\route.ts"
"/api/ai/stream/version","0","\src\app\api\ai\stream\version\route.ts"
"/api/ai/summary","0","\src\app\api\ai\summary\route.ts"
"/api/ai/summary/generate","0","\src\app\api\ai\summary\generate\route.ts"
"/api/ai/summary/health","0","\src\app\api\ai\summary\health\route.ts"
"/api/ai/summary/version","0","\src\app\api\ai\summary\version\route.ts"
"/api/ai/system","0","\src\app\api\ai\system\route.ts"
"/api/ai/tasks","0","\src\app\api\ai\tasks\route.ts"
"/api/ai/tasks/all","0","\src\app\api\ai\tasks\all\route.ts"
"/api/ai/tasks/delete","0","\src\app\api\ai\tasks\delete\route.ts"
"/api/ai/tasks/diagnostics","0","\src\app\api\ai\tasks\diagnostics\route.ts"
"/api/ai/tasks/health","0","\src\app\api\ai\tasks\health\route.ts"
"/api/ai/tasks/info","0","\src\app\api\ai\tasks\info\route.ts"
"/api/ai/tasks/lookup","0","\src\app\api\ai\tasks\lookup\route.ts"
"/api/ai/tasks/version","0","\src\app\api\ai\tasks\version\route.ts"
"/api/ai/time","0","\src\app\api\ai\time\route.ts"
"/api/ai/tokens","0","\src\app\api\ai\tokens\route.ts"
"/api/ai/tokens/estimate","0","\src\app\api\ai\tokens\estimate\route.ts"
"/api/ai/tools","0","\src\app\api\ai\tools\route.ts"
"/api/ai/tools/diagnostics","0","\src\app\api\ai\tools\diagnostics\route.ts"
"/api/ai/tools/execute","0","\src\app\api\ai\tools\execute\route.ts"
"/api/ai/tools/health","0","\src\app\api\ai\tools\health\route.ts"
"/api/ai/tools/lookup","0","\src\app\api\ai\tools\lookup\route.ts"
